ID;Ship;Country;Type;Tahun Produksi;Fate
1164;USS St Paul;USA;Baltimore class heavy cruiser;17-Feb-45;decommissioned 1971, scrapped 1980
1165;Stack;USA;Benham class destroyer;20-Nov-39;scuttled after A-bomb test 1948
1167;Sterett;USA;Benham class destroyer;15-Aug-39;scrapped 1947
1168;Stevenson;USA;Gleaves class destroyer;15-Dec-42;decommissioned 1946, scrapped 1970
1169;Stewart;USA�Japan;Clemson class destroyer;15-Sep-20;"scuttled 2 March 1942 at Surabaya, Java; raised and recommissioned as Patrol Boat No. 102, 20 September 1943"
1171;Stockton;USA;Gleaves class destroyer;11-Jan-43;decommissioned 1946, scrapped 1973
1172;Stord;Norway;S class destroyer;29-Sep-43;scrapped 1959
1173;Strasbourg;France;Dunkerque-class battleship;Feb-39;scuttled 27 November 1942
1175;Suffren;France�Free France;Suffren class heavy cruiser;01-Jan-30;scrapped 1974
1177;Sutlej;India;Black Swan class sloop;23-Apr-41;
1178;Suzuya;Japan;Mogami class heavy cruiser;Oct-37;sunk 25 October 1944
1179;Svenner;Norway;S class destroyer;01-Jun-43;Sunk on D-Day, 6 June 1944
1180;Swale;South Africa;Loch class frigate;26-Jul-45;Returned to Royal Navy Jan 1946, scrapped Feb 1955
1181;Swanson;USA;Gleaves class destroyer;29-May-41;decommissioned 1945, scrapped 1972
1182;Sydney;Australia;modified Leander class light cruiser;24-Sep-35;lost 19 November 1941
1184;Taih?;Japan;aircraft carrier;;Sunk 19 June 1944
1185;Taiy?;Japan;aircraft carrier;;Sunk 18 August 1944
1186;Takao;Japan;Takao-class heavy cruiser;31-May-32;Sunk 31 July 1945
1187;Tama;Japan;Cruiser;29-Jan-21;Sunk 20 October 1944
1188;Tannenberg;German;minelayer;02-Sep-39;09-Jul-41
1189;Taranto;Italy;Light cruiser;1925;scuttled 23 September 1943
1190;Tarmo;Finland;escort and icebreaker;;
1191;Tartar;UK;Tribal class destroyer;10-Mar-39;Scrapped 22 February 1948
1192;Tatsuta;Japan;Tenryu-class light cruiser;31-May-19;Sunk 13 March 1944
1193;Tattnall;USA;Wickes class destroyer;26-Jun-19;Decommissioned 17 December 1945
1194;Taylor;USA;Fletcher class destroyer;28-Aug-42;Decommissioned 31 May 1946
1195;Tennessee;USA;Tennessee-class battleship;03-Jun-20;Decommissioned 14 February 1947, scrapped 1959
1196;Tenry?;Japan;Tenry?-class light cruiser;20-Nov-19;Sunk 18 December 1942
1197;Teruzuki;Japan;Akizuki class destroyer;11-Jun-42;sunk 12 December 1942
1198;Terror;UK;Erebus class monitor;06-Aug-16;Sunk 24 February 1941
1199;Teviot;South Africa;River class frigate;10-Jun-45;Returned to Royal Navy Jan 1946, scrapped Mar 1955
1200;Texas;USA;New York-class battleship;12-Mar-14;"Decommissioned 21 April 1948; memorial San Jacinto, Texas"
1201;Thane;UK;Ruler class escort aircraft carrier;19-Nov-43;Returned to USN 15 December 1945, scrapped 1946
1202;Themistocles;Greece;Hunt (Type II) class escort destroyer;Mar-43;returned to Royal Navy 12 November 1959, scrapped 1960
1203;Theodor Riedel;German;Type 1934A destroyer;02-Jul-37;Ceded to UK, then to France Feb 1946, renamed Kleber, scrapped 1958
1204;Thompson;USA;Gleaves class destroyer;10-Jul-43;decommissioned 1954, scrapped 1972
1205;Thor;German;Auxiliary cruiser;15-Mar-40;accidentally burnt 30 November 1942
1206;Thorn;USA;Gleaves class destroyer;01-Apr-43;decommissioned 1946, sunk as target 1974
1207;Ticonderoga;USA;Essex-class aircraft carrier;08-May-44;decommissioned 1 September 1973, scrapped 1975
1208;Tiger;German;1924 Raubtier class torpedo boat;15-Jan-29;wrecked in collision with the Max Schultz 25 August 1939
1209;Tillman;USA;Gleaves class destroyer;04-Jun-42;decommissioned 1947, scrapped 1972
1210;Tirpitz;German;Bismarck-class battleship;25-Feb-41;sunk 12 November 1944
1211;Togo;German;Night fighter direction vessel;13-Aug-38;ran aground 21 November 1984
1213;Tone;Japan;Tone class heavy cruiser;30-Nov-38;Sunk 14 July 1945
1214;Tonkinois;Free France;River class frigate;15-Oct-44;Decommissioned 1961
1215;Topeka;USA;Cleveland class light cruiser;23-Dec-44;converted to missile cruiser 1960, scrapped 1975
1217;Tourville;France�Free France;Duquesne class heavy cruiser;01-Dec-28;condemned 1962
1218;Tracker;UK;Ruler class escort aircraft carrier;31-Jan-43;Returned to USN 29 November 1945, sold into merchant service as Corrientes
1219;Transylvania;UK;Armed merchant cruiser;05-Oct-39;Torpedoed and sunk by U-56,10 August 1940
1220;Transvaal;South Africa;Loch class frigate;21-May-45;Decommissioned 14 August 1964, and sunk as artificial reef
1221;Trento;Italy;Trento class heavy cruiser;1929;sunk 14 June 1942
1222;Trenton;USA;Omaha class light cruiser;19-Apr-24;scrapped 1946
1223;Trieste;Italy;Trento class heavy cruiser;1928;sunk 1943
1224;Trinidad;UK;Fiji class cruiser;14-Oct-41;sunk 15 May 1942
1225;Trippe;USA;Benham class destroyer;01-Nov-39;scuttled after A-bomb test 1948
1226;Tromp;Netherlands;Tromp class cruiser;18-Aug-38;decommissioned 1955
1227;Trouncer;UK;Ruler class escort aircraft carrier;31-Jan-44;Returned to USN 3 March 1946, sold into merchant service as Greystoke Castle
1228;Trumpeter;UK;Ruler class escort aircraft carrier;04-Aug-43;Returned to USN 6 April 1946, sold into merchant service as Alblasserdijk
1229;Tucker;USA;Mahan class destroyer;23-Jul-36;sunk 4 August 1942
1231;Tucson;USA;Atlanta class light cruiser;03-Feb-45;scrapped 1971
1232;Turner;USA;Gleaves class destroyer;15-Apr-43;exploded 3 January 1944
1233;Tuscaloosa;USA;New Orleans class heavy cruiser;17-Aug-34;Decommissioned 13 February 1946, scrapped 1959
1234;Tsingtau;German;Supply escort and Schnellboot tender;24-Sep-34;Feb-50
1236;Tunisien;Free France;Cannon class destroyer escort;11-Feb-44;Decommissioned May 1964
1237;Tunsberg Castle;Norway;Castle-class corvette;17-Apr-44;Sunk 12 December 1944
1245;Uganda;UK;Fiji-class light cruiser;21-Oct-44;transferred to RCN as HMCS�Uganda 21 October 1944, renamed HMCS�Quebec 14 January 1952, scrapped 1961
1246;Underhill;USA;Buckley-class destroyer escort;15-Nov-43;sunk 24 July 1945
1247;Unicorn;UK;maintenance aircraft carrier;12-Mar-43;scrapped 1960
1248;Unry?;Japan;Unry?-class aircraft carrier;06-Aug-44;sunk 19 December 1944
1249;Uny?;Japan;escort aircraft carrier;1942;Sunk 15 September 1944
1250;Utah;USA;Florida-class battleship;31-Aug-11;sunk 7 December 1941
1307;Ying Swei;China;Chao Ho-class cruiser;1911;Sunk 25 October 1937
1308;Yorktown�(CV-5);USA;Yorktown-class aircraft carrier;30-Sep-37;sunk 7 June 1942
1309;Yorktown�(CV-10);USA;Essex-class aircraft carrier;15-Apr-43;decommissioned 27 June 1970, museum ship Charleston, South Carolina
1310;Yubari;Japan;light cruiser;1923;sunk 27 April 1944
1311;Yukikaze;Japan;Kagero-class destroyer;1940;to China 1947, renamed Tan Yang
1312;Yura;Japan;Nagara-class light cruiser;1922;lost 25 October 1942
1313;Z23 - Z30;German;Type 1936A Narvik destroyer;1940;
1314;Z31 - Z34, Z37 - Z39;German;Type 1936A (Mob) destroyer;1942;
1315;Z35, Z36, Z43;German;Type 1936B destroyer;1943;
1316;Zara;Italy;Zara-class heavy cruiser;20-Oct-31;sunk 29 March 1941
1317;Zuih?;Japan;Zuih?-class aircraft carrier;Jan-41;sunk 25 October 1944
1318;Zuikaku;Japan;Sh?kaku-class aircraft carrier;25-Sep-41;25-Oct-44
1319;Zulu;UK;Tribal-class destroyer;07-Sep-38;sunk 14 September 1942
