ID;Ship;Country;Type;Tahun Produksi;Fate
898;McDougal;USA;Porter class destroyer leader;23-Dec-36;scrapped 1949
899;McKean;USA;Wickes class high speed transport;25-Feb-19;sunk 17 November 1943
900;McLanahan;USA;Benson class destroyer;19-Dec-42;decommissioned 1946, scrapped 1974
901;Meade;USA;Benson class destroyer;22-Jun-42;decommissioned 1946, sunk as target 1973
902;Medway;UK;Submarine tender;Jul-29;sunk 30 June 1942
903;Melvin;USA;Fletcher class destroyer;24-Nov-43;Decommissioned 13 January 1954, scrapped 1975
904;Memphis;USA;Omaha class light cruiser;17-Dec-25;scrapped 1947
905;Mendoza;Argentina;Mendoza class destroyer;;Discarded 30 April 1962
906;Meredith;USA;Gleaves class destroyer;01-Mar-41;sunk 15 October 1942
907;Mervine;USA;Gleaves class destroyer;17-Jun-42;decommissioned 1949, scrapped 1969
908;Miami;USA;Cleveland class light cruiser;28-Dec-43;scrapped 1962
909;Miaoulis;Greece;Hunt (Type III) class escort destroyer;25-Nov-42;Returned to Royal Navy 1959, scrapped 1960
910;Michel;German;auxiliary cruiser;07-Sep-41;sunk 17 October 1943
911;Mikuma;Japan;Mogami class heavy cruiser;29-Aug-35;Sunk 6 June 1942
912;Milwaukee/Murmansk;USA, �USSR;Omaha class light cruiser;20-Apr-44;scrapped 10 December 1949
913;Minas Geraes;Brazil;Minas Geraes-class battleship;06-Jan-10;Decommissioned 20 September 1953
914;Minegumo;Japan;Asashio class destroyer;;
915;Minneapolis;USA;New Orleans class heavy cruiser;19-May-34;Decommissioned 10 February 1947, scrapped 1959
916;Miralda;UK;Rapana class merchant aircraft carrier and oil tanker;Jan-44;"returned to merchant service post-war; renamed Marisa"
917;Misiones;Argentina;Buenos Aires class destroyer;;Discarded 3 May 1971
918;Mississippi;USA;Mississippi-class battleship;01-Feb-08;decommissioned 21 July 1914, sold to Greece, renamed Lemnos, sunk 23 April 1941
919;Mississippi;USA;New Mexico-class battleship;25-Jan-17;decommissioned 1956 (for scrap)
920;Missouri;USA;Iowa-class battleship;11-Jun-44;"decommissioned 1955, recommissioned 1984, decommissioned 1992; museum Pearl Harbor, Hawaii"
921;Mobile;USA;Cleveland class light cruiser;24-Mar-43;scrapped 1960
922;Moffett;USA;Porter class destroyer leader;28-Aug-36;scrapped 1947
923;Mogami;Japan;Mogami class heavy cruiser;1935;Sunk 25 October 1944
924;Mohawk;UK;Tribal class destroyer;07-Sep-38;sunk 16 April 1941
925;Molotov;USSR;Maxim Gorkiy (Project 26 bis) class heavy cruiser;25-Oct-40;decommissioned Feb 1956
926;Monaghan;USA;Farragut class destroyer;18-Apr-35;foundered in typhoon 18 December 1944
927;Monowai;New Zealand;armed merchant cruiser;30-Aug-40;Decommissioned 18 June 1943, then landing ship
928;Monssen;USA;Gleaves class destroyer;14-Mar-41;Sunk by Japanese warships off Guadalcanal 13 November 1942
929;Montcalm;France�Free France;La Galissonniere class light cruiser;15-Nov-37;Decommissioned 1 May 1957
930;Montclare;UK;Submarine tender;02-Jun-42;scrapped Oct 1954
931;Monterey;USA;Independence class light carrier;17-Jun-43;decommissioned 16 January 1956, scrapped 1971
932;Montpelier;USA;Cleveland class light cruiser;09-Sep-42;scrapped 1960
933;Montrose;UK;Admiralty leader class;14-Sep-18;scrapped Jan 1946
934;Moreno;Argentina;Rivadavia-class battleship;;scrapped Feb 1956
935;Morris;USA;Sims class destroyer;05-Mar-40;scrapped 1947
936;Morrison;USA;Fletcher-class destroyer;18-Dec-43;Sunk by kamikazes, 4 May 1945
937;M�we;German;Raubvogel class torpedoboat;01-Oct-26;sunk 15 June 1944
938;Mugford;USA;Bagley class destroyer;16-Aug-37;scuttled after A-bomb test 1948
939;Murasame;Japan;Shiratsuyu class destroyer;07-Jan-37;sunk 4 March 1943
940;Murphy;USA;Benson class destroyer;25-Jul-42;decommissioned 1946, scrapped 1972
941;Musashi;Japan;Yamato-class battleship;;sunk 25 October 1944
942;Mustin;USA;Sims class destroyer;15-Sep-39;scuttled after A-bomb test 1948
943;Mutsu;Japan;Nagato-class battleship;;sunk 8 June 1943
944;Muzio Attendolo;Italy;Montecuccoli class light cruiser;1935;lost 1942
945;My?k?;Japan;My?k?-class heavy cruiser;1929;scuttled by Royal Navy 8 June 1946
946;Nabob;UK;Ruler class escort aircraft carrier;07-Sep-43;Decommissioned 30 September 1944, scrapped Dec 1977
947;Nachi;Japan;My?k? class heavy cruiser;;sunk 5 November 1944
948;Nagara;Japan;Nagara class light cruiser;;lost 7 August 1944
949;Nagato;Japan;Nagato-class battleship;;sunk as target at Bikini, 29 July 1946
950;Nairana;UK;escort aircraft carrier;12-Dec-43;sold into mercantile service as Port Victor 28 May 1948
951;Naka;Japan;Sendai class light cruiser;1925;sunk 17 February 1944
952;Narbada;India;Black Swan class sloop;;Transferred to Pakistan 1948, renamed Jhelum
953;Nashville;USA;Brooklyn class light cruiser;06-Jun-38;sold to Chile 1951 (Capitan Prat)
954;Natal;South Africa;Loch class frigate;09-Mar-45;Decommissioned 1 September 1965
955;Natori;Japan;Nagara class light cruiser;;lost 18 August 1944
956;Natsuzuki;Japan;Akizuki class destroyer;08-Apr-45;scrapped after the war
957;Navarinon;Greece;E-class destroyer;05-Apr-44;Returned to Royal Navy and scrapped Apr 1956
958;HMS�Nelson;UK;Nelson-class battleship;10-Sep-27;decommissioned Feb 1948, scrapped Mar 1949
959;USS Nelson;USA;Gleaves-class destroyer;26-Nov-42;decommissioned 1947, scrapped 1969
960;Neptune;UK;Leander class light cruiser;23-Feb-34;lost 19 December 1941
961;Nevada;USA;Nevada-class battleship;11-Mar-16;"decommissioned 29 July 1946; sunk as a target 31 July 1948"
962;New Jersey;USA;Iowa-class battleship;23-May-43;decommissioned 1948, recommissioned 1968, decommissioned 1969, recommissioned 1983, decommissioned 1991. museum ship Camden, New Jersey
963;New Mexico;USA;New Mexico-class battleship;20-May-18;Scrapped Nov 1947
964;New Orleans;USA;New Orleans-class heavy cruiser;12-Apr-33;Decommissioned 10 February 1947, scrapped 1959
965;New York;USA;New York-class battleship;15-Apr-14;decommissioned 29 August 1946, sunk as target at Bikini  8 July 1948
978;Norge;Norway;Eidsvold class coastal defence ship;07-Feb-01;sunk 9 April 1940
979;North Carolina;USA;North Carolina-class battleship;09-Apr-41;decommissioned 27 June 1947, museum ship Wilmington, North Carolina
980;Northampton;USA;Northampton class heavy cruiser;17-May-30;lost 1 December 1942
981;Noshiro;Japan;Agano class light cruiser;;Sunk 26 October 1944
982;Nubian;UK;Tribal class destroyer;06-Dec-38;scrapped 1949
983;N�rnberg;German;light cruiser;02-Nov-35;transferred to USSR as Admiral Makarov, scrapped 1960
984;Oakland;USA;Atlanta-class light cruiser;17-Jul-43;decommissioned 1949, scrapped 1959
985;O'Brien;USA;Sims-class destroyer;02-Mar-40;sunk 19 October 1942
986;Ocean;UK;Colossus-class aircraft carrier;08-Aug-45;scrapped May 1962
987;?i;Japan;Kuma-class light cruiser;10-Oct-21;sunk by USS�Flasher 19 July 1944
988;Okinoshima;Japan;minelayer;30-Sep-36;sunk by USS�S-42 12 May 1942
989;Oklahoma;USA;Nevada-class battleship;02-May-16;"sunk at Pearl Harbor 7 December 1941; raised in 1943 and stricken in 1944; sank under tow in Pacific 1947"
990;Oklahoma City;USA;Cleveland-class light cruiser;22-Dec-44;converted to missile cruiser 1960, sunk as target 1999
991;Oktyabrskaya Revolutsiya (originally Gangut);USSR;Gangut-class battleship;03-Jun-09;scrapped 1959
994;Omaha;USA;Omaha-class light cruiser;24-Feb-23;Scrapped Feb 1946
995;Ordronaux;USA;Benson-class destroyer;13-Feb-43;decommissioned 1947, scrapped 1973
996;Orella;Chile;Serrano-class destroyer;;
997;Orion;UK;Leander-class light cruiser;18-Jan-34;scrapped 1949
1000;Orze?;Poland;Orze?-class submarine;02-Feb-39;sunk 11 June 1940
1001;Ouragan;France�Free France,�Poland &�UK;Bourrasque-class destroyer;19-Jan-27;"Polish Navy 17 July 1940; transferred to Free France 30 April 1941 then to Royal Navy in 1943; scrapped 7 April 1949."
1002;?yodo;Japan;?yodo-class light cruiser;28-Feb-43;sunk 25 July 1945
1003;Panther;Greece;Wild Beast class destroyer;19-Oct-12;Decommissioned 1946
1004;Parana;Argentina;Rosario class gunboat;;Sold 28 August 1958
1005;Parker;USA;Benson class destroyer;31-Aug-42;decommissioned 1947, scrapped 1973
1006;Pasadena;USA;Cleveland class light cruiser;08-Jun-44;scrapped 1970
1007;Patria;Cuba;gunboat;;
